BOROUGH,NEW_BUILD_TXNS,EXISTING_TXNS,NEW_BUILD_MEDIAN,EXISTING_MEDIAN,PREMIUM_GBP,PREMIUM_PCT
Westminster,1667,12846,1600000,966250,633750,65.6
Lambeth,1586,17665,866055,529000,337055,63.7
Kensington and Chelsea,274,9120,1928550,1200000,728550,60.7
City of London,248,1321,1253130,823912,429218,52.1
Islington,994,10285,906900,632000,274900,43.5
Southwark,1559,14522,750000,525000,225000,42.9
Hammersmith and Fulham,1878,10613,1047650,735000,312650,42.5
Hackney,706,8230,782194,570501,211693,37.1
Tower Hamlets,6206,11903,628900,462000,166900,36.1
Wandsworth,3300,21665,757250,650000,107250,16.5
Camden,1308,11276,884288,765000,119288,15.6
Newham,3015,9859,479000,416200,62800,15.1
Greenwich,2616,12607,500000,435000,65000,14.9
Enfield,297,6580,470000,445000,25000,5.6
Croydon,169,4400,390000,385000,5000,1.3
Lewisham,720,14908,440000,450000,-10000,-2.2
Haringey,2261,13373,530000,545000,-15000,-2.8
Bexley,244,967,364000,382500,-18500,-4.8
Merton,301,7521,600000,630000,-30000,-4.8
Barnet,2709,13469,506803,555000,-48197,-8.7
Brent,697,5625,485000,540000,-55000,-10.2
Ealing,1937,8925,499925,580000,-80075,-13.8
Waltham Forest,911,14118,417000,500000,-83000,-16.6
Hounslow,122,3024,636750,800000,-163250,-20.4
