BOROUGH,FREEHOLD_TXNS,LEASEHOLD_TXNS,FREEHOLD_MEDIAN,LEASEHOLD_MEDIAN,FREEHOLD_PREMIUM_GBP,FREEHOLD_PREMIUM_PCT
City of London,225,1344,4555001,800000,3755001,469.4
Westminster,2108,12405,3350000,923930,2426070,262.6
Kensington and Chelsea,2462,6932,3100000,950000,2150000,226.3
Camden,2543,10041,1800000,688000,1112000,161.6
Hounslow,1496,1650,1303500,518500,785000,151.4
Richmond upon Thames,1514,802,1340000,535000,805000,150.5
Islington,2430,8849,1427500,575500,852000,148.0
Hackney,2205,6731,1137500,500000,637500,127.5
Hammersmith and Fulham,3539,8952,1425000,650000,775000,119.2
Redbridge,640,685,760000,360000,400000,111.1
Merton,3910,3912,925000,440000,485000,110.2
Barnet,7032,9146,830000,415000,415000,100.0
Brent,2616,3706,825000,418000,407000,97.4
Wandsworth,7749,17216,1100000,565000,535000,94.7
Ealing,4162,6700,855000,448000,407000,90.8
Southwark,3935,12146,910000,480000,430000,89.6
Lewisham,6426,9202,650000,365000,285000,78.1
Bromley,564,1039,565000,325000,240000,73.8
Lambeth,5754,13497,825000,475000,350000,73.7
Enfield,4317,2560,560000,325000,235000,72.3
Tower Hamlets,1433,16676,830000,500000,330000,66.0
Haringey,5436,10198,767500,467020,300480,64.3
Waltham Forest,7781,7248,625000,385000,240000,62.3
Croydon,1895,2674,507500,320000,187500,58.6
Bexley,746,465,405500,304800,100700,33.0
Greenwich,6571,8652,510000,410250,99750,24.3
Newham,5321,7553,460000,386500,73500,19.0
